Name Batch_Num Z_Encoder Z_Scan Field_Sweep Field_Measured Vbias Vfb Response Time Pixels Lines Xrange Yrange Xcenter Ycenter Angle
EuS01392002.sxm 2 1973.878 5.540139 0.39 48.2148 1.25 -0.2292151 -0.0037897 "26-Oct-2021 19:26:10" 96 192 8 16 -1.1307 -9.7014 90
EuS01393002.sxm 2 1973.847 5.540139 0.38 48.2148 1.25 -0.2295134 -0.0037897 "26-Oct-2021 19:45:16" 96 192 8 16 -1.1307 -9.7014 90
EuS01394002.sxm 2 1973.854 5.540139 0.37 48.2148 1.25 -0.2282592 -0.0037897 "26-Oct-2021 20:04:21" 96 192 8 16 -1.1307 -9.7014 90
EuS01395002.sxm 2 1973.838 5.540139 0.36 48.2148 1.25 5.243088 -0.0037897 "26-Oct-2021 20:23:25" 96 192 8 16 -1.1307 -9.7014 90
EuS01396002.sxm 2 1973.821 5.540139 0.35 48.2148 1.25 -0.225458 -0.0037897 "26-Oct-2021 20:42:29" 96 192 8 16 -1.1307 -9.7014 90
EuS01397002.sxm 2 1973.838 5.540139 0.34 48.2148 1.25 -0.2240401 -0.0037897 "26-Oct-2021 21:01:34" 96 192 8 16 -1.1307 -9.7014 90
EuS01398002.sxm 2 1973.815 5.540139 0.33 48.2148 1.25 -0.2229548 -0.0037897 "26-Oct-2021 21:20:39" 96 192 8 16 -1.1307 -9.7014 90
EuS01399002.sxm 2 1973.811 5.540139 0.32 48.2148 1.25 -0.2238361 -0.0037897 "26-Oct-2021 21:39:43" 96 192 8 16 -1.1307 -9.7014 90
EuS01400002.sxm 2 1973.793 5.540139 0.31 48.2148 1.25 2.51545 -0.0037897 "26-Oct-2021 21:58:48" 96 192 8 16 -1.1307 -9.7014 90
EuS01401002.sxm 2 1973.761 5.540139 0.3 48.2148 1.25 -0.2210013 -0.0037897 "26-Oct-2021 22:17:53" 96 192 8 16 -1.1307 -9.7014 90
EuS01402002.sxm 2 1973.813 5.540139 0.29 48.2148 1.25 -0.2198877 -0.0037897 "26-Oct-2021 22:36:57" 96 192 8 16 -1.1307 -9.7014 90
EuS01403002.sxm 2 1973.794 5.540139 0.28 48.2148 1.25 2.517393 -0.0037897 "26-Oct-2021 22:56:01" 96 192 8 16 -1.1307 -9.7014 90
EuS01404002.sxm 2 1973.805 5.540139 0.27 48.2148 1.25 -0.2170739 -0.0037897 "26-Oct-2021 23:15:06" 96 192 8 16 -1.1307 -9.7014 90
EuS01405002.sxm 2 1973.785 5.540139 0.26 48.2148 1.25 -0.21703 -0.0037897 "26-Oct-2021 23:34:10" 96 192 8 16 -1.1307 -9.7014 90
EuS01406002.sxm 2 1973.793 5.540139 0.25 48.2148 1.25 7.990815 -0.0037897 "26-Oct-2021 23:53:14" 96 192 8 16 -1.1307 -9.7014 90
EuS01407002.sxm 2 1973.785 5.540139 0.24 48.2148 1.25 -0.2187738 -0.0037897 "27-Oct-2021 00:12:18" 96 192 8 16 -1.1307 -9.7014 90
EuS01408002.sxm 2 1973.801 5.540139 0.23 48.2148 1.25 -0.2187662 -0.0037897 "27-Oct-2021 00:31:22" 96 192 8 16 -1.1307 -9.7014 90
EuS01409002.sxm 2 1973.821 5.540139 0.22 48.2148 1.25 5.253482 -0.0037897 "27-Oct-2021 00:50:27" 96 192 8 16 -1.1307 -9.7014 90
EuS01410002.sxm 2 1973.797 5.540139 0.21 48.2148 1.25 -0.2178975 -0.0037897 "27-Oct-2021 01:09:31" 96 192 8 16 -1.1307 -9.7014 90
EuS01411002.sxm 2 1973.778 5.540139 0.2 48.2148 1.25 -0.2173584 -0.0037897 "27-Oct-2021 01:28:35" 96 192 8 16 -1.1307 -9.7014 90
EuS01412002.sxm 2 1973.836 5.540139 0.19 48.2148 1.25 -0.2171213 -0.0037897 "27-Oct-2021 01:47:39" 96 192 8 16 -1.1307 -9.7014 90
EuS01413002.sxm 2 1973.796 5.540139 0.18 48.2148 1.25 -0.2166525 -0.0037897 "27-Oct-2021 02:06:44" 96 192 8 16 -1.1307 -9.7014 90
EuS01414002.sxm 2 1973.801 5.540139 0.17 48.2148 1.25 2.522452 -0.0037897 "27-Oct-2021 02:25:48" 96 192 8 16 -1.1307 -9.7014 90
EuS01415002.sxm 2 1973.805 5.540139 0.16 48.2148 1.25 -0.2139089 -0.0037897 "27-Oct-2021 02:44:51" 96 192 8 16 -1.1307 -9.7014 90
EuS01416002.sxm 2 1973.802 5.540139 0.15 48.2148 1.25 -0.2123408 -0.0037897 "27-Oct-2021 03:03:55" 96 192 8 16 -1.1307 -9.7014 90
EuS01417002.sxm 2 1973.869 5.540139 0.14 48.2148 1.25 -0.2127521 -0.0037897 "27-Oct-2021 03:23:01" 96 192 8 16 -1.1307 -9.7014 90
EuS01418002.sxm 2 1973.828 5.540139 0.13 48.2148 1.25 -0.214621 -0.0037897 "27-Oct-2021 03:42:05" 96 192 8 16 -1.1307 -9.7014 90
EuS01419002.sxm 2 1973.815 5.540139 0.12 48.2148 1.25 -0.2145065 -0.0037897 "27-Oct-2021 04:01:10" 96 192 8 16 -1.1307 -9.7014 90
EuS01420002.sxm 2 1973.802 5.540139 0.11 48.2148 1.25 -0.213082 -0.0037897 "27-Oct-2021 04:20:14" 96 192 8 16 -1.1307 -9.7014 90
EuS01421002.sxm 2 1973.882 5.540139 0.1 48.2148 1.25 -0.2126188 -0.0037897 "27-Oct-2021 04:39:19" 96 192 8 16 -1.1307 -9.7014 90
