Name Batch_Num Z_Encoder Z_Scan Field_Sweep Field_Measured Vbias Vfb Response Time Pixels Lines Xrange Yrange Xcenter Ycenter Angle
EuS002870003.sxm 1 4122.187 13.63191 200 199.99364135695 0.4 0.2300694 -0.0021 "16-Apr-2022 19:47:55" 96 96 17 17 13.077 14.204 0
EuS002880002.sxm 1 4122.043 13.63191 100 99.99009043055 0.4 0.2238182 -0.0021 "16-Apr-2022 19:57:10" 96 96 17 17 13.077 14.204 0
EuS002890002.sxm 1 4122.269 13.63191 0 -0.038660885037 0.4 0.2179003 -0.0021 "16-Apr-2022 20:06:16" 96 96 17 17 13.077 14.204 0
EuS002900002.sxm 1 4122.234 13.63191 -100 0.15705973166635 0.4 0.2114711 -0.0021 "16-Apr-2022 20:15:21" 96 96 17 17 13.077 14.204 0
EuS002910002.sxm 1 4122.079 13.63191 -160 0.1516305999803 0.4 0.20737 -0.0021 "16-Apr-2022 20:24:32" 96 96 17 17 13.077 14.204 0
EuS002920002.sxm 1 4122.178 13.63191 -180 0.1513591791606 0.4 0.2056717 -0.0021 "16-Apr-2022 20:33:45" 96 96 17 17 13.077 14.204 0
EuS002930002.sxm 1 4122.272 13.63191 -190 0.15515965587535 0.4 0.2050466 -0.0021 "16-Apr-2022 20:42:58" 96 96 17 17 13.077 14.204 0
EuS002940002.sxm 1 4122.031 13.63191 -200 0.15135924418715 0.4 0.2043351 -0.0021 "16-Apr-2022 20:52:13" 96 96 17 17 13.077 14.204 0
EuS002950002.sxm 1 4122.092 13.63191 -205 0.15353100090405 0.4 0.2038862 -0.0021 "16-Apr-2022 21:01:28" 96 96 17 17 13.077 14.204 0
EuS002960002.sxm 1 4122.129 13.63191 -210 0.15163079505995 0.4 0.2035689 -0.0021 "16-Apr-2022 21:10:44" 96 96 17 17 13.077 14.204 0
EuS002970002.sxm 1 4122.115 13.63191 -215 0.15081640254775 0.4 0.2033046 -0.0021 "16-Apr-2022 21:20:00" 96 96 17 17 13.077 14.204 0
EuS002980002.sxm 1 4122.304 13.63191 -220 0.1527166734184 0.4 0.2027785 -0.0021 "16-Apr-2022 21:29:16" 96 96 17 17 13.077 14.204 0
EuS002990002.sxm 1 4122.093 13.63191 -225 0.15190221587965 0.4 0.2022953 -0.0021 "16-Apr-2022 21:38:33" 96 96 17 17 13.077 14.204 0
